"IdIPT_Movs","Fecha","Referencia","IdIPT_TipoMov","EnSa","IdMaquileros","ObsMovs","IdIPT_Almacenes","IdUsuarios","TieneModelos","IdRecibos"
1993,30/04/2021 00:00:00,"Segundas (1994)",9,2,0,,1,71,1,0
1994,30/04/2021 00:00:00,"Primeras (1993)",9,1,0,,2,71,1,0
1995,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
1996,30/04/2021 00:00:00,"Segundas (1997)",9,2,0,,1,71,1,0
1997,30/04/2021 00:00:00,"Primeras (1996)",9,1,0,,2,71,1,0
1998,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
1999,30/04/2021 00:00:00,"Segundas (2000)",9,2,0,,1,71,1,0
2000,30/04/2021 00:00:00,"Primeras (1999)",9,1,0,,2,71,1,0
2001,30/04/2021 00:00:00,,5,2,0,"Aeropostale Boutiques",1,71,1,0
2002,30/04/2021 00:00:00,,5,2,0,"Aeropostale Coppel",1,71,1,0
2003,03/05/2021 00:00:00,,2,1,62,,1,71,1,0
2004,05/03/2021 00:00:00,,2,1,251,,1,71,1,9263
2005,05/01/2021 00:00:00,,2,1,251,,1,71,1,9261
2006,05/03/2021 00:00:00,,2,1,251,,1,71,1,9264
2007,04/05/2021 00:00:00,,15,2,0,,1,71,1,0
2008,04/05/2021 00:00:00,"Segundas (2009)",9,2,0,,1,71,1,0
2009,04/05/2021 00:00:00,"Primeras (2008)",9,1,0,,2,71,1,0
2010,04/05/2021 00:00:00,,19,1,0,,1,71,1,0
2011,04/05/2021 00:00:00,,19,1,0,,1,71,1,0
2012,04/05/2021 00:00:00,"Segundas (2013)",9,2,0,,1,71,1,0
2013,04/05/2021 00:00:00,"Primeras (2012)",9,1,0,,2,71,1,0
2014,04/05/2021 00:00:00,,15,2,0,,1,71,1,0
2015,04/05/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
2016,05/05/2021 00:00:00,,5,2,0,"Aeropostale Sam`s",1,71,1,0
2017,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2018,05/05/2021 00:00:00,"Segundas (2019)",9,2,0,,1,71,1,0
2019,05/05/2021 00:00:00,"Primeras (2018)",9,1,0,,2,71,1,0
2020,05/05/2021 00:00:00,,15,2,0,,2,71,1,0
2021,05/05/2021 00:00:00,,14,1,0,,2,71,1,0
2022,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2023,05/05/2021 00:00:00,"Segundas (2024)",9,2,0,,1,71,1,0
2024,05/05/2021 00:00:00,"Primeras (2023)",9,1,0,,2,71,1,0
2025,05/05/2021 00:00:00,,15,2,0,,2,71,1,0
2026,05/05/2021 00:00:00,"Segundas (2027)",9,2,0,,1,71,1,0
2027,05/05/2021 00:00:00,"Primeras (2026)",9,1,0,,2,71,1,0
2028,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2029,05/05/2021 00:00:00,"Segundas (2030)",9,2,0,,1,71,1,0
2030,05/05/2021 00:00:00,"Primeras (2029)",9,1,0,,2,71,1,0
2031,05/05/2021 00:00:00,,15,2,0,,2,71,1,0
2032,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2033,05/05/2021 00:00:00,"Segundas (2034)",9,2,0,,1,71,1,0
2034,05/05/2021 00:00:00,"Primeras (2033)",9,1,0,,2,71,1,0
2035,05/05/2021 00:00:00,,13,2,0,,1,71,1,0
2036,05/05/2021 00:00:00,"Segundas (2037)",9,2,0,,1,71,1,0
2037,05/05/2021 00:00:00,"Primeras (2036)",9,1,0,,2,71,1,0
2038,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2039,05/05/2021 00:00:00,"Segundas (2040)",9,2,0,,1,71,1,0
2040,05/05/2021 00:00:00,"Primeras (2039)",9,1,0,,2,71,1,0
2041,05/05/2021 00:00:00,"Segundas (2042)",9,2,0,,1,71,1,0
2042,05/05/2021 00:00:00,"Primeras (2041)",9,1,0,,2,71,1,0
2043,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2044,05/05/2021 00:00:00,"Segundas (2045)",9,2,0,,1,71,1,0
2045,05/05/2021 00:00:00,"Primeras (2044)",9,1,0,,2,71,1,0
2046,05/05/2021 00:00:00,,7,2,0,,1,71,1,0
2047,05/05/2021 00:00:00,,15,2,0,,1,71,1,0
2048,05/05/2021 00:00:00,"Segundas (2049)",9,2,0,,1,71,1,0
2049,05/05/2021 00:00:00,"Primeras (2048)",9,1,0,,2,71,1,0
2050,05/05/2021 00:00:00,,10,1,0,,1,71,1,0
2051,05/05/2021 00:00:00,,2,1,251,,1,71,1,9265
2052,05/05/2021 00:00:00,,2,1,251,,2,71,1,9267
2053,05/05/2021 00:00:00,,2,1,187,,1,71,1,9268
2054,05/05/2021 00:00:00,,2,1,62,,1,71,1,9269
2055,05/05/2021 00:00:00,,2,1,369,,1,71,1,9270
2056,05/05/2021 00:00:00,,2,1,369,,1,71,1,9271
2057,05/06/2021 00:00:00,,2,1,404,,1,71,1,9272
2058,05/06/2021 00:00:00,,2,1,16,,1,71,1,9273
2059,05/06/2021 00:00:00,,2,1,16,,1,71,1,9274
2060,05/06/2021 00:00:00,,2,1,251,,1,71,1,9276
2061,05/06/2021 00:00:00,,2,1,251,,2,71,1,9277
2062,05/06/2021 00:00:00,,2,1,251,,1,71,1,9278
2063,07/05/2021 00:00:00,,15,2,0,,1,71,1,0
2064,07/05/2021 00:00:00,"Segundas (2065)",9,2,0,,1,71,1,0
2065,07/05/2021 00:00:00,"Primeras (2064)",9,1,0,,2,71,1,0
2066,07/05/2021 00:00:00,,15,2,0,,1,71,1,0
2067,07/05/2021 00:00:00,"Segundas (2068)",9,2,0,,1,71,1,0
2068,07/05/2021 00:00:00,"Primeras (2067)",9,1,0,,2,71,1,0
2069,07/05/2021 00:00:00,,5,2,0,"Aeropostale Coppel",1,71,1,0
2070,07/05/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
2071,07/05/2021 00:00:00,,10,1,0,,1,71,1,0
2072,07/05/2021 00:00:00,,10,1,0,,2,71,1,0
2073,07/05/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
2074,05/08/2021 00:00:00,,2,1,251,,1,71,1,9279
2075,05/08/2021 00:00:00,,2,1,251,,1,71,1,9281
2076,05/08/2021 00:00:00,,2,1,404,,1,71,1,9282
2077,05/08/2021 00:00:00,,2,1,404,,2,71,1,9283
2078,05/06/2021 00:00:00,,2,1,251,,1,71,1,9284
2079,05/06/2021 00:00:00,,2,1,251,,2,71,1,9285
2080,10/05/2021 00:00:00,,2,1,404,,1,71,1,0
2081,10/05/2021 00:00:00,,13,2,0,"Ricardo Gazca",1,71,1,0
2082,10/05/2021 00:00:00,,14,1,0,,1,71,1,0
2083,10/05/2021 00:00:00,,13,2,0,,1,71,1,0
2084,10/05/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
2085,05/11/2021 00:00:00,,2,1,158,,1,71,1,9288
2086,05/11/2021 00:00:00,,2,1,158,,1,71,1,9289
2087,05/11/2021 00:00:00,,2,1,158,,2,71,1,9290
2088,05/11/2021 00:00:00,,2,1,251,,1,71,1,9291
2089,05/11/2021 00:00:00,,2,1,251,,1,71,1,9293
2092,11/05/2021 00:00:00,,15,2,0,,1,71,1,0
2093,11/05/2021 00:00:00,,15,2,0,,1,71,1,0
2094,11/05/2021 00:00:00,"Segundas (2095)",9,2,0,,1,71,1,0
2095,11/05/2021 00:00:00,"Primeras (2094)",9,1,0,,2,71,1,0
2096,11/05/2021 00:00:00,"Primeras (2097)",9,2,0,,2,71,1,0
2097,11/05/2021 00:00:00,"Segundas (2096)",9,1,0,,1,71,1,0
2098,11/05/2021 00:00:00,,12,1,0,,1,71,1,0
