"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
400,8776,$9196.00,"orden 2837 descuento por remates de jaretas , pegado de ojillo  confeccion de prendas , entrega tardia ,pegado boton cobro transporte 2 veves"
401,8805,$160.00,"2 prendas orden 2755"
402,8813,$200.00,"2 prendas orden 2859"
403,8817,$0.10,"Cerramos cuentas hoy, le debo 6,056"
404,8339,$1207.00,"DESCUENTO ORDEN 2651 REVISION AL 100% PICADURAS EN TRASERO Y PRETINAS"
405,8867,$240.00,"3 prendas orden 2795"
406,8346,$1182.00,"DESCUENTO ORDEN 2694 ETIQUETA MAL COSIDA NO SE PUEDE REMOVER POR QUE SE PICA EL CORTE"
407,8344,$3696.00,"DESCUENTO ORDEN 2713  PEDIDO RECHAZADO POR PROBLEMAS DEL CIERRE."
408,8924,$640.00,"8 prendas orden 2857"
409,8928,$720.00,"12 prendas orden 2843"
410,8935,$560.00,"7 prendas ordenes 2846, 2789"
411,8941,,
412,8995,$396.00,"falta de pespunte en pretina orden 2807"
413,9001,$1100.00,"Descuento"
414,9011,$3928.75,"Descuento Orden 2868 por arreglo de prendas 368 piezas a $4 pesos  revision 624 por $2 pesos  tiempo extra 6 personas $1,208.75 ."
415,9059,$2600.00,"DESCUENTO  ORDEN 2889 MOELO 61056 TRANSPORTE $2,000.00 REVISION $600.00"
416,9096,$200.00,"2 prendas 2905"
417,9104,$800.00,"8 prendas 2904"
418,9106,$800.00,"Transporte a recogerle"
419,9111,$1600.00,"16 prendas orden 2906"
420,9115,$600.00,"6 prendas ordn 2885"
421,9119,$600.00,"6 prendas orden 2901"
422,9138,$0.00,
429,9156,$550.00,"11 prendas orden 2907"
434,9164,$295.00,"descuento compra ropa dos piezas chamarras"
435,9206,$240.00,"4 prendas orden 2910"
436,9261,$360.00,"6 prendas orden 2909"
437,9264,$1200.00,"8 prendas orden 2918"
438,9267,$3000.00,"Gastos personal que no ocupamos"
439,9268,$750.00,"gastos transporte"
440,9269,$2500.00,"penalizacion por no llegar a la cita"
441,9294,$600.00,"DESCUENTO  TONO EN LA MISMA PRENDA  24 PIEZAS"
442,9295,$295.00,"Venta de prendas"
443,9298,$360.00,"6 prendas orden 2911"
444,9322,$700.00,"Prendas  con hoyos provocados por descoser orden 2945 modelo 51087"
445,9357,$840.00,"14 prendas ords 2892, 2924, 2925"
446,9373,$192.48,"gastos envio  elastico"
447,9387,$4000.00,
448,9382,$100.00,"1 prenda orden 2919"
449,9410,$260.00,"orden 2920 modelo 62027  pegado de etiqueta y monarch a 104 piezas a 2.50"
450,9411,$212.00,"DESCUENTO ORDEN 2920 MODELO 62027 PEGADO DE TAPACOSTURA  53 PIEZAS A CUATRO PESOS"
