"IdProm_ExisFecha","CodigoExis","Tienda","CantExis"
1,"73802299B6005",25,15
1,"73802299B6005",34,5
1,"73802299B6005",10,35
1,"73802299B6005",1,35
1,"73802299B6005",4,35
1,"73802299B6005",27,14
1,"73802299B6005",44,11
1,"73802299B6005",47,12
1,"73802299B6005",31,15
1,"73802299B6005",39,14
1,"73802119C6316",30,10
1,"73802119C6316",22,5
1,"73802119C6316",50,15
1,"73802119C6316",17,3
1,"73802119C6316",48,9
1,"73802149C4002",70,8
1,"73802149C4002",28,46
1,"73802149C4002",7,44
1,"73802149C4002",44,48
1,"73802149C4002",3,44
1,"73802149C4002",14,77
1,"73802149C4002",18,48
1,"73802149C4002",29,41
1,"73802149C4002",24,104
1,"73802149C4002",31,47
1,"73802149C4002",1,43
1,"73802149C4002",11,64
1,"73802149C4002",2,56
1,"73802149C4002",43,67
1,"73802149C4002",40,85
1,"73802149C4002",50,62
1,"73802149C4002",12,37
1,"73802149C4002",35,68
1,"73802149C4002",10,44
1,"73802149C4002",39,88
1,"73802149C4002",36,90
1,"73802149C4002",46,48
1,"73802149C4002",23,87
1,"73802149C4002",32,86
1,"73802149C4002",5,80
1,"73802149C4002",26,83
1,"73802149C4002",22,40
1,"73802149C4002",30,46
1,"73802149C4002",16,145
1,"73802149C4002",19,76
1,"73802149C4002",33,238
1,"73802149C4002",27,49
1,"73802149C4002",34,85
1,"73802149C4002",17,9
1,"73802149C4002",47,85
1,"73802149C4002",25,41
1,"73802149C4002",48,87
1,"73802149C4002",20,88
1,"73802149C4002",21,81
1,"73802149C4002",4,63
1,"73802149C4002",42,48
1,"73802149C4002",49,71
1,"73802149C4002",15,84
1,"73802149C4002",37,47
1,"73802149C4002",45,126
1,"73802149C4002",41,48
1,"73802149C4003",21,43
1,"73802149C4003",16,138
1,"73802149C4003",11,42
1,"73802149C4003",40,48
1,"73802149C4003",19,49
1,"73802149C4003",27,49
1,"73802149C4003",44,41
1,"73802149C4003",25,40
1,"73802149C4003",3,46
1,"73802149C4003",26,42
1,"73802149C4003",42,48
1,"73802149C4003",20,34
1,"73802149C4003",49,52
1,"73802149C4003",2,-2
1,"73802149C4003",41,47
1,"73802149C4003",47,47
1,"73802149C4003",14,47
1,"73802149C4003",37,49
1,"73802149C4003",45,22
1,"73802149C4003",7,47
1,"73802149C4003",30,21
1,"73802149C4003",70,11
1,"73802149C4003",28,36
1,"73802149C4003",29,40
1,"73802149C4003",33,23
1,"73802149C4003",32,48
1,"73802149C4003",15,45
1,"73802149C4003",46,101
1,"73802149C4003",43,47
1,"73802149C4003",50,46
1,"73802149C4003",12,35
1,"73802149C4003",24,49
1,"73802149C4003",35,51
1,"73802149C4003",34,46
1,"73802149C4003",31,25
1,"73802149C4003",39,48
1,"73802149C4003",48,49
1,"73802149C4003",36,83
1,"73802149C4003",23,54
1,"73802149C4307",49,73
1,"73802149C4307",43,21
1,"73802149C4307",22,117
1,"73802149C4307",2,49
1,"73802149C4307",7,15
1,"73802149C4307",36,50
1,"73802149C4307",48,12
1,"73802149C4307",34,33
1,"73802149C4307",33,20
1,"73802149C4307",50,34
1,"73802149C4307",21,5
1,"73802149C4307",4,70
1,"73802149C4307",18,20
1,"73802149C4307",45,90
1,"73802149C4307",23,47
1,"73802149C4307",28,8
1,"73802149C4307",12,15
1,"73802149C4307",5,12
1,"73802149C4307",30,2
1,"73802149C4307",19,26
1,"73802149C4307",24,15
1,"73802149C4307",16,48
1,"73802149C4307",1,32
1,"73802149C4307",11,9
1,"73802149C4307",10,16
1,"73802149C4307",42,35
1,"73802149C4307",20,1
1,"73802149C4307",46,7
1,"73802149C4307",14,52
1,"73802149C6306",37,49
1,"73802149C6306",22,102
1,"73802149C6306",19,53
1,"73802149C6306",48,10
1,"73802149C6306",5,45
1,"73802149C6306",21,45
1,"73802149C6306",70,5
1,"73802149C6306",4,40
1,"73802149C6306",42,15
1,"73802149C6306",10,49
1,"73802149C6306",7,47
1,"73802149C6306",49,38
1,"73802149C6306",46,48
1,"73802149C6306",1,54
1,"73802149C6306",3,19
1,"73802149C6306",17,34
1,"73802149C6306",20,47
1,"73802149C6306",33,1
1,"73802149C6306",29,38
1,"73802149C6306",12,16
1,"73802149C6306",2,30
1,"73802149C6306",34,19
1,"73802149C6314",15,19
1,"73802149C6314",4,51
1,"73802149C6314",41,14
1,"73802149C6314",12,15
1,"73802149C6314",7,10
1,"73802149C6314",32,15
1,"73802149C6314",49,59
1,"73802149C6314",70,19
1,"73802149C6314",37,24
1,"73802149C6314",17,42
1,"73802149C6314",34,1
1,"73802149C6314",28,58
1,"73802149C6314",16,38
1,"73802149C6314",48,17
1,"73802149C6314",43,43
1,"73802149C6314",26,11
1,"73802149C6314",24,70
1,"73802149C6314",1,47
1,"73802149C6314",36,32
1,"73802149C6314",40,15
1,"73802149C6314",29,52
1,"73802149C6314",3,1
1,"73802149C6314",30,50
1,"73802149C6314",18,25
1,"73802149C6314",19,55
1,"73802149C6314",10,47
1,"73802149C6314",11,23
1,"73802299B6005",3,15
1,"73802299B6005",30,16
1,"73802299B6008",3,27
1,"73802299B6008",36,28
1,"73802299L4308",21,-1
1,"73802299L4308",11,6
1,"73802299L4308",10,3
1,"73802299L4308",19,12
1,"73802299L4308",24,10
1,"73802299L4308",70,-3
1,"73802299L4308",12,6
1,"73802299L4308",41,8
1,"73802299L4308",20,5
1,"73802299L4308",3,16
1,"73802299L4308",42,7
1,"73802299L4308",28,9
1,"73802299L4308",40,47
1,"73802299L4308",2,22
1,"73802299L6310",28,2
1,"73802299L6310",20,7
